STATIONS_ID,Date,Sunshine duration daily total,Daily amount of precipitation,Daily mean temperature,Daily mean of the relative humidity,Daily mean wind speed
1078,07/07/1970 00:00,14.8,0,22.6,64,2.9
1078,08/07/1970 00:00,9.1,6.1,21.7,69,3.7
1078,09/07/1970 00:00,7.4,4.5,19.9,72,4.7
1078,10/07/1970 00:00,8.8,0,17.7,63,2.9
1078,11/07/1970 00:00,2.2,0,17.7,69,2.5
1078,12/07/1970 00:00,12.3,0,18.9,66,3
1078,13/07/1970 00:00,14.8,0,21.1,52,3.7
1078,14/07/1970 00:00,0.2,18,13.2,86,5.6
1078,15/07/1970 00:00,2.4,14.6,13,85,6
1078,16/07/1970 00:00,0.6,0.1,12.8,76,4.7
1078,17/07/1970 00:00,1.8,0,13.1,69,3.1
1078,18/07/1970 00:00,3,0,15.9,78,2
1078,19/07/1970 00:00,0.3,7.1,15.4,90,4.1
1078,20/07/1970 00:00,1.3,2.9,12.6,86,4.7
1078,21/07/1970 00:00,8.6,0.4,13.9,69,4
1078,22/07/1970 00:00,12,0,15.3,64,3.5
1078,23/07/1970 00:00,6.1,0,17.8,68,2
1078,24/07/1970 00:00,3.7,9.2,18.1,72,3.6
1078,25/07/1970 00:00,1.3,6.8,14.6,82,6.9
1078,26/07/1970 00:00,1.6,3,15.2,80,5.7
1078,27/07/1970 00:00,3.5,0,19.4,75,4.4
1078,28/07/1970 00:00,11.1,21.4,21.1,72,3.6
1078,29/07/1970 00:00,5.8,0,18.4,79,3.2
1078,30/07/1970 00:00,11.1,0,18.6,70,1.2
1078,31/07/1970 00:00,13.1,0,21.3,59,1.3
1078,01/08/1970 00:00,11.4,0,20.9,70,1.2
1078,02/08/1970 00:00,11.8,0,21.8,72,2.1
1078,03/08/1970 00:00,8.2,0,20.8,72,2.4
1078,04/08/1970 00:00,10.7,0,21.6,71,2.4
1078,05/08/1970 00:00,9,7.8,21.4,76,2.7
1078,06/08/1970 00:00,3.5,0,23,80,1.3
1078,07/08/1970 00:00,1.2,20.9,18.8,94,1.9
1078,08/08/1970 00:00,2.5,4.2,18.1,81,2.7
1078,09/08/1970 00:00,0.7,0,17.5,83,2.3
1078,10/08/1970 00:00,1.2,9.7,16.4,86,4.8
1078,11/08/1970 00:00,2.8,3.9,14.8,87,2.7
1078,12/08/1970 00:00,11,0,15.6,69,1.4
1078,13/08/1970 00:00,13.1,0.3,20.9,61,3.2
1078,14/08/1970 00:00,3.6,0,18.2,70,4
1078,15/08/1970 00:00,8.4,0,17.4,65,0.8
1078,16/08/1970 00:00,0.5,5.8,16.3,79,4.2
1078,17/08/1970 00:00,8.9,0,15.4,63,5.5
1078,18/08/1970 00:00,9.6,0.4,14.6,67,2.9
1078,19/08/1970 00:00,4.8,0.3,19.6,68,3.3
1078,20/08/1970 00:00,2.9,0,18,65,4.8
1078,21/08/1970 00:00,9.7,0,17,63,2.6
1078,22/08/1970 00:00,2.3,0,15.5,71,1.4
1078,23/08/1970 00:00,0,1,14.4,92,1.4
1078,24/08/1970 00:00,6.7,0,18.2,74,2
1078,25/08/1970 00:00,7.4,0,16.5,80,2.1
1078,26/08/1970 00:00,9.6,0,17.5,69,1.3
1078,27/08/1970 00:00,7.4,0,18,71,1.5
1078,28/08/1970 00:00,7.9,0,17.7,73,1.9
1078,29/08/1970 00:00,10.8,0,19.7,64,1.5
1078,30/08/1970 00:00,8.4,0,18.7,72,1.5
1078,31/08/1970 00:00,9.7,0.4,20.3,66,2.9
1078,01/09/1970 00:00,7.8,0,16,61,4.2
1078,02/09/1970 00:00,9.2,0,16.9,60,3.3
1078,03/09/1970 00:00,4.6,2.3,17.6,70,4.7
1078,04/09/1970 00:00,0.5,0,16.6,75,5
1078,05/09/1970 00:00,6.8,0,16.6,69,5.9
1078,06/09/1970 00:00,7.7,0,14.4,69,4.7
1078,07/09/1970 00:00,11.2,0,17.1,60,3.3
1078,08/09/1970 00:00,3.9,2.3,19.2,67,7.3
1078,09/09/1970 00:00,2.8,0.1,17.9,69,5.5
1078,10/09/1970 00:00,0,5.8,15,77,4.5
1078,11/09/1970 00:00,2.1,2.1,14.1,79,4.3
1078,12/09/1970 00:00,1.2,4.7,15.1,72,6
1078,13/09/1970 00:00,5.5,6.1,13.6,72,7.2
1078,14/09/1970 00:00,0,3.5,16,91,6.7
1078,15/09/1970 00:00,3.4,9.2,17.8,82,4.1
1078,16/09/1970 00:00,1,6.5,12,80,7
1078,17/09/1970 00:00,0.6,0.1,13.8,81,3.7
1078,18/09/1970 00:00,10.9,0,15.9,75,2.4
1078,19/09/1970 00:00,8.5,0,17,74,1.4
1078,20/09/1970 00:00,8.4,0,16.9,82,1.5
1078,21/09/1970 00:00,0.9,0,15.5,85,1.8
1078,22/09/1970 00:00,10.3,0,11.4,79,2.7
1078,23/09/1970 00:00,6.9,0,9.7,79,1.5
1078,24/09/1970 00:00,9.6,0,10.8,78,0.8
1078,25/09/1970 00:00,9.9,0,13.8,70,1.5
1078,26/09/1970 00:00,4.1,0,15.8,73,2
1078,27/09/1970 00:00,9.3,0,16.4,73,3.2
1078,28/09/1970 00:00,9.7,0,16.9,59,3.8
1078,29/09/1970 00:00,10.6,9,16.2,52,4.9
1078,30/09/1970 00:00,0.3,5.2,13.8,84,5.4
1078,01/10/1970 00:00,3.7,4.9,12.5,78,4.8
1078,02/10/1970 00:00,7.7,17.2,10.6,82,7.3
1078,03/10/1970 00:00,2.6,5.1,9.8,87,7.2
1078,04/10/1970 00:00,0.1,4.4,10.6,92,4.7
1078,05/10/1970 00:00,0.8,0,14.4,78,6.2
1078,06/10/1970 00:00,3.6,7.9,14.6,79,5.5
1078,07/10/1970 00:00,0.1,0.3,12.6,83,2.9
1078,08/10/1970 00:00,1.7,0.4,11.5,85,1.2
1078,09/10/1970 00:00,0,0.2,12.8,87,2.8
1078,10/10/1970 00:00,5.4,0,15.4,82,1.6
1078,11/10/1970 00:00,8.6,0,16.2,82,1.8
1078,12/10/1970 00:00,6.3,0,14.2,83,3.1
1078,13/10/1970 00:00,0,0,13.6,88,1.5
1078,14/10/1970 00:00,0.5,0,11.6,87,3
1078,15/10/1970 00:00,9.2,0,8,77,3.4
1078,16/10/1970 00:00,9,0,8.1,71,1.9
1078,17/10/1970 00:00,8.7,0,8.3,80,1.7
1078,18/10/1970 00:00,4.4,0,10.6,76,3.4
1078,19/10/1970 00:00,0.4,8.3,9.5,80,7
1078,20/10/1970 00:00,3,6.4,6.6,89,5.6
1078,21/10/1970 00:00,4.1,0.2,7.6,86,4.9
1078,22/10/1970 00:00,1.8,0.1,8.1,79,4.2
1078,23/10/1970 00:00,7.2,0,6.1,75,3.2
1078,24/10/1970 00:00,0,2.5,8.9,91,4
1078,25/10/1970 00:00,0,1.2,10.8,80,6.6
1078,26/10/1970 00:00,0,3.9,9.3,93,6.4
1078,27/10/1970 00:00,4.9,4.6,8.8,78,3.4
